"Part";"Value";"Device";"Package";"Description";"MANUFACTURER_PART_NUMBER";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"PROD_ID";"SF_ID";"SF_SKU";"TP_SIGNAL_NAME";"VENDOR";
"B1";"SPARKFUN_PRO_MICRO";"SPARKFUN_PRO_MICRO";"SPARKFUN_PRO_MICRO";"SparkFun Pro Micro";"";"";"";"";"";"";"";"";"";"";
"C1";".0042uf";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";
"C2";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";
"C3";"0.1uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";
"C4";"10uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";
"C5";"0.01uF";"C2.5/2";"C2.5-2";"CAPACITOR";"";"";"";"";"";"";"";"";"";"";
"C6";"100uF";"CPOL-USB45181A";"B45181A";"POLARIZED CAPACITOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"CVOUT";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";
"D1";"1N4148";"R-US_0204/2V";"0204V";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";
"DC1";"5v";"NME";"NME";"DC-DC CONVERTER";"";"C & D TECHNOLOGIES, INC";"NME1205D";"1021466";"98B8198";"";"";"";"";"";
"GATE1";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";
"GATE2";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";
"GATE3";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"WQP-PJ301M-12_JACK";"";"";"";"";"";"";"";"";"";"";"";
"IC1";"LMC555";"LM555N";"DIL08";"TIMER";"";"";"";"";"";"";"";"";"";"";
"IC2";"7805L";"7805L";"TO92";"Positive VOLTAGE REGULATOR";"";"";"";"";"";"";"";"";"";"";
"IC3";"LM555D";"LM555D";"SO08";"TIMER";"";"";"";"";"";"";"";"";"";"";
"J1";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-08438";"";"";"";"";
"J2";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-08438";"";"";"";"";
"J3";"MCP4728";"CONN_10"";"1X10";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-11563";"";"";"";"";
"J4";"Eurorack";"CONN_05X2PTH";"2X5";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-08499";"PRT-0778";"";"";"";
"J6";"";"CONN_08"";"1X08";"Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections";"";"";"";"";"";"CONN-08438";"";"";"";"";
